fold,train_loss,train_accuracy,val_loss,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.00011872894538100809,1.0,0.9799680709838867,0.9305555555555556,1.0,1.0,1.0,1.0,0.9074074074074073,0.9305555555555556,0.9983036995842088,0.913095238095238
2,0.0001460149942431599,1.0,0.5107375383377075,0.9305555555555556,1.0,1.0,1.0,1.0,0.9217592592592594,0.9305555555555556,0.9980983468902435,0.918562610229277
3,0.00015163226635195315,1.0,0.91447913646698,0.8888888888888888,1.0,1.0,1.0,1.0,0.9479166666666666,0.8888888888888888,0.9973651876431039,0.8944444444444445
4,0.0002969136694446206,1.0,2.000898838043213,0.8888888888888888,1.0,1.0,1.0,1.0,0.9236111111111112,0.8888888888888888,0.9975717833571478,0.898148148148148
5,0.0001493744639446959,1.0,0.062245938926935196,0.971830985915493,1.0,1.0,1.0,1.0,0.9812206572769951,0.971830985915493,0.9991718426501036,0.9722334004024147
6,0.00016288035840261728,1.0,0.20630335807800293,0.9436619718309859,1.0,1.0,1.0,1.0,0.9694835680751173,0.9436619718309859,0.9984960871253455,0.950637156270959
7,0.0030341933015733957,1.0,0.017212672159075737,0.9859154929577465,1.0,1.0,1.0,1.0,0.9788732394366197,0.9859154929577465,0.9996677740863787,0.9812206572769954
8,0.00016280103591270745,1.0,0.5384158492088318,0.9436619718309859,1.0,1.0,1.0,1.0,0.948356807511737,0.9436619718309859,0.9985712827690783,0.9389671361502346
9,0.00020109605975449085,1.0,0.5492520332336426,0.8873239436619719,1.0,1.0,1.0,1.0,0.9096244131455399,0.8873239436619719,0.9971474434844361,0.886317907444668
10,8.93526230356656e-05,1.0,1.1443767547607422,0.8591549295774648,1.0,1.0,1.0,1.0,0.9178403755868543,0.8591549295774648,0.996405393637977,0.8689470154258887
Average,0.00045129877180443144,1.0,0.6923890190199018,0.9230438184663535,1.0,1.0,1.0,1.0,0.9406093505477306,0.9230438184663535,0.9980798841228025,0.9222573713888268
