fold,train_loss,train_accuracy,val_loss,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.0771142840385437,0.962829415954416,0.08311426639556885,0.9576322115384616,0.9614704841121429,0.962829415954416,0.9991997897733242,0.9614468128039892,0.9559953261336431,0.9576322115384616,0.9990698978778465,0.956133344279477
2,0.07874515652656555,0.9635639245014245,0.08073180913925171,0.9608373397435898,0.9652635833765785,0.9635639245014245,0.9992290996556548,0.9632121148220399,0.9640972453236131,0.9608373397435898,0.9991585422017887,0.9604798115128617
3,0.07338739186525345,0.9657006766381766,0.07689449936151505,0.9646434294871795,0.9662485376236758,0.9657006766381766,0.9992732527171191,0.9648484402831246,0.9653977494218312,0.9646434294871795,0.9992369688407252,0.9640342614719788
4,0.08978120237588882,0.9575988247863247,0.08830845355987549,0.9581330128205128,0.9652275304213538,0.9575988247863247,0.9991202173554742,0.9596105240396312,0.9662391097125479,0.9581330128205128,0.9991180973654985,0.9602530326866536
5,0.0944208949804306,0.9561298076923077,0.0972125381231308,0.9550280448717948,0.9658226069348979,0.9561298076923077,0.9990916372330417,0.9576976557665418,0.964705102985975,0.9550280448717948,0.999047025548987,0.9570214842963279
6,0.08750288188457489,0.9590567129629629,0.08684596419334412,0.9595352564102564,0.9681210891031778,0.9590567129629629,0.9991512068298128,0.9602867277962068,0.968404960874586,0.9595352564102564,0.9991270982488887,0.9607638399175434
7,0.07924745231866837,0.9597355769230769,0.0831543579697609,0.9599358974358975,0.9604047670131403,0.9597355769230769,0.9991236579938912,0.9562462477641246,0.9619334737140657,0.9599358974358975,0.9991238979170552,0.9564171822960515
8,0.07810510694980621,0.9623620014245015,0.08041976392269135,0.9599358974358975,0.962730961708414,0.9623620014245015,0.9992010836867427,0.9624044173996369,0.960215663001006,0.9599358974358975,0.9991101294050098,0.9598523363963971
9,0.08441070467233658,0.9594796118233618,0.08562410622835159,0.957832532051282,0.9583162870759354,0.9594796118233618,0.9991194235400725,0.9561570226789813,0.9571135066272104,0.957832532051282,0.9990852994455415,0.9541778403992017
10,0.07680447399616241,0.961738782051282,0.07450498640537262,0.9639423076923077,0.9620569802563009,0.961738782051282,0.9991729317181026,0.9597513249621196,0.9642999216012189,0.9639423076923077,0.9992252122145477,0.9624518686553901
Average,0.08195195496082305,0.9608195334757836,0.08368107452988624,0.9597455929487181,0.9635662827625617,0.9608195334757836,0.9991682300503237,0.9601661288316397,0.9628402059395696,0.9597455929487181,0.9991302169065888,0.9591585001911884
