fold,train_loss,train_accuracy,val_loss,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.00010376834688941017,1.0,0.3565632104873657,0.9583333333333334,1.0,1.0,1.0,1.0,0.9490740740740742,0.9583333333333334,0.9989645188202384,0.949074074074074
2,3.530511457938701e-05,1.0,0.6942301392555237,0.9166666666666666,1.0,1.0,1.0,1.0,0.9143518518518517,0.9166666666666666,0.9977495023535567,0.9046296296296296
3,0.00014867246500216424,1.0,0.14867565035820007,0.9722222222222222,1.0,1.0,1.0,1.0,0.9791666666666666,0.9722222222222222,0.9993494559085782,0.9722222222222222
4,0.00020812459115404636,1.0,0.4753364324569702,0.9305555555555556,1.0,1.0,1.0,1.0,0.9537037037037036,0.9305555555555556,0.9983575873847738,0.925925925925926
5,8.81174946698593e-06,1.0,1.0521084070205688,0.9154929577464789,1.0,1.0,1.0,1.0,0.9631455399061032,0.9154929577464789,0.9975899610031126,0.9156270959087861
6,0.00011805010581156239,1.0,0.662730872631073,0.971830985915493,1.0,1.0,1.0,1.0,0.9929577464788732,0.971830985915493,0.9992534152282113,0.9774647887323944
7,5.983802839182317e-05,1.0,1.7576030492782593,0.8873239436619719,1.0,1.0,1.0,1.0,0.8826291079812206,0.8873239436619719,0.9974600582561391,0.8779342723004695
8,7.598457159474492e-05,1.0,0.4061822295188904,0.9295774647887324,1.0,1.0,1.0,1.0,0.9460093896713614,0.9295774647887324,0.9982575552288634,0.9290409121395037
9,5.2493000112008303e-05,1.0,1.7779364585876465,0.9014084507042254,1.0,1.0,1.0,1.0,0.9061032863849765,0.9014084507042254,0.9975048843787363,0.8976525821596244
10,0.00017018713697325438,1.0,1.2537518739700317,0.9154929577464789,1.0,1.0,1.0,1.0,0.9577464788732394,0.9154929577464789,0.9978617291987216,0.9286384976525822
Average,9.812351099753868e-05,1.0,0.8585118323564529,0.9298904538341157,1.0,1.0,1.0,1.0,0.944488784559207,0.9298904538341157,0.9982348667760931,0.9278210000745212
