fold,train_loss,train_accuracy,val_loss,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,7.576631469419226e-05,1.0,0.5272066593170166,0.9583333333333334,1.0,1.0,1.0,1.0,0.9548611111111112,0.9583333333333334,0.9989889012010874,0.9523809523809523
2,2.3005984985502437e-05,1.0,0.749198853969574,0.9166666666666666,1.0,1.0,1.0,1.0,0.9375,0.9166666666666666,0.9977495023535567,0.9166666666666666
3,1.5074095244926866e-05,1.0,1.951826572418213,0.9027777777777778,1.0,1.0,1.0,1.0,0.9305555555555556,0.9027777777777778,0.9976234216895576,0.911111111111111
4,1.652776336413808e-05,1.0,0.8773335814476013,0.9305555555555556,1.0,1.0,1.0,1.0,0.9351851851851851,0.9305555555555556,0.9984038066784545,0.9259259259259258
5,4.488708873395808e-05,1.0,0.691144585609436,0.9436619718309859,1.0,1.0,1.0,1.0,0.948356807511737,0.9436619718309859,0.998412536410087,0.9380281690140845
6,1.7310219845967367e-05,1.0,0.27893781661987305,0.9436619718309859,1.0,1.0,1.0,1.0,0.9624413145539907,0.9436619718309859,0.9985290346138297,0.9487592219986585
7,1.3873694115318358e-05,1.0,0.5908726453781128,0.9577464788732394,1.0,1.0,1.0,1.0,0.971830985915493,0.9577464788732394,0.9990305469178709,0.9586854460093897
8,5.374425381887704e-05,1.0,0.1582326740026474,0.9295774647887324,1.0,1.0,1.0,1.0,0.9600938967136149,0.9295774647887324,0.9982575552288634,0.9333333333333331
9,2.4106009732349776e-05,1.0,0.4302487373352051,0.9436619718309859,1.0,1.0,1.0,1.0,0.9507042253521126,0.9436619718309859,0.9985346489939264,0.9450033534540577
10,2.900374965975061e-05,1.0,1.6722320318222046,0.8732394366197183,1.0,1.0,1.0,1.0,0.9389671361502346,0.8732394366197183,0.9966650626208999,0.8739101274312543
Average,3.132991741949809e-05,1.0,0.7927234157919884,0.9299882629107981,1.0,1.0,1.0,1.0,0.9490496218049035,0.9299882629107981,0.9982195016708134,0.9303804307325432
