fold,train_loss,train_accuracy,val_loss,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,4.426745363161899e-05,1.0,0.3836163878440857,0.9583333333333334,1.0,1.0,1.0,1.0,0.9305555555555556,0.9583333333333334,0.9989495118466187,0.9417989417989419
2,2.8971977371838875e-05,1.0,0.042396653443574905,0.9861111111111112,1.0,1.0,1.0,1.0,0.9907407407407407,0.9861111111111112,0.999624060150376,0.9861111111111112
3,1.5265877664205618e-05,1.0,0.23323266208171844,0.9583333333333334,1.0,1.0,1.0,1.0,0.9652777777777778,0.9583333333333334,0.9989842436260071,0.9611111111111111
4,1.782410981832072e-05,1.0,0.6244737505912781,0.9583333333333334,1.0,1.0,1.0,1.0,0.9594907407407407,0.9583333333333334,0.9990031866290429,0.9514550264550264
5,1.3272774594952352e-05,1.0,0.9244169592857361,0.9577464788732394,1.0,1.0,1.0,1.0,0.9894366197183099,0.9577464788732394,0.998841219015204,0.96579476861167
6,1.9659164536278695e-05,1.0,0.2586892247200012,0.9577464788732394,1.0,1.0,1.0,1.0,0.9816901408450704,0.9577464788732394,0.9988606422509922,0.9618153364632238
7,1.3368008694669697e-05,1.0,0.86072838306427,0.9295774647887324,1.0,1.0,1.0,1.0,0.9061032863849766,0.9295774647887324,0.9983764908290322,0.9145539906103287
8,1.6697564205969684e-05,1.0,0.4538360834121704,0.9436619718309859,1.0,1.0,1.0,1.0,0.9929577464788732,0.9436619718309859,0.9986538277282743,0.9586854460093897
9,2.3548107492388226e-05,1.0,3.335330620757304e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1.1548881957423873e-05,1.0,1.3888530731201172,0.8732394366197183,1.0,1.0,1.0,1.0,0.9049295774647887,0.8732394366197183,0.9966638975892411,0.8714285714285713
Average,2.0442391996766673e-05,1.0,0.517027653086916,0.9523082942097026,1.0,1.0,1.0,1.0,0.9621182185706832,0.9523082942097026,0.998795707966479,0.9512754303599374
