fold,train_loss,train_accuracy,val_loss,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.02767140045762062,0.989520697167756,0.026594188064336777,0.9896078431372549,0.9896656741194408,0.989520697167756,0.9997903849958598,0.9892623234766655,0.9898270072555017,0.9896078431372549,0.9997924340422278,0.9893434784170078
2,0.022703830152750015,0.9913289760348584,0.026709014549851418,0.9898039215686274,0.9912726889822546,0.9913289760348584,0.9998265500311593,0.9911702135828361,0.9898390544090684,0.9898039215686274,0.9997963940072503,0.9896185711066035
3,0.01783537119626999,0.9931372549019608,0.02041117660701275,0.9909803921568627,0.9932516399996918,0.9931372549019608,0.9998627405524028,0.993070152896103,0.9914269724383784,0.9909803921568627,0.9998196741305088,0.9909477236129849
4,0.021292047575116158,0.9908714596949891,0.024654991924762726,0.9915686274509804,0.9911337427217038,0.9908714596949891,0.9998174284383503,0.9906797710563308,0.9916391200905447,0.9915686274509804,0.9998313850723312,0.9913781716926571
5,0.025218455120921135,0.9892156862745098,0.03592527285218239,0.9876470588235294,0.9894871462132809,0.9892156862745098,0.9997843127893113,0.9888759217202259,0.988152662939339,0.9876470588235294,0.9997528496073459,0.9873476313867358
6,0.0423615463078022,0.9823311546840958,0.04723434895277023,0.9798039215686275,0.982150322048968,0.9823311546840958,0.9996466737081338,0.982047956836311,0.9796750071172625,0.9798039215686275,0.9995955977070072,0.9793145134317377
7,0.01869386062026024,0.9929411764705882,0.02504013292491436,0.9915686274509804,0.9933548387232299,0.9929411764705882,0.9998588320649995,0.9928411034342854,0.9918685953069754,0.9915686274509804,0.9998312654051253,0.991403476366392
8,0.027678702026605606,0.9886710239651416,0.030444981530308723,0.9896078431372549,0.9892764477894509,0.9886710239651416,0.9997734285990643,0.9887756052220604,0.9902359876706528,0.9896078431372549,0.999792073354302,0.9896963888509355
9,0.05519046634435654,0.9774291938997821,0.0497639961540699,0.9825490196078431,0.9773844386066584,0.9774291938997821,0.999548582025021,0.977345007259228,0.9822436320512271,0.9825490196078431,0.999650922546837,0.9823136496113908
10,0.02032008394598961,0.9918736383442266,0.020623717457056046,0.9919607843137255,0.9918883316842141,0.9918736383442266,0.9998374505763605,0.9917379868158459,0.9921760373859859,0.9919607843137255,0.9998394823712535,0.9918757152121
Average,0.02789657637476921,0.9887320261437909,0.03074018210172653,0.9885098039215686,0.9888865270888892,0.9887320261437909,0.9997746383780661,0.9885806042299892,0.9887084076664937,0.9885098039215686,0.9997702078244188,0.9883239319688544
