fold,train_loss,train_accuracy,val_loss,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.03185560554265976,0.9881263616557734,0.03133193403482437,0.9890196078431372,0.9885184876689357,0.9881263616557734,0.9997625029829976,0.9878556644383832,0.9892526380363107,0.9890196078431372,0.9997805863412254,0.9887071986785486
2,0.010542520321905613,0.9965359477124183,0.01067016739398241,0.9958823529411764,0.9965810383928387,0.9965359477124183,0.9999307072455977,0.9965140979026605,0.9961222793255408,0.9958823529411764,0.9999177660953387,0.9958456806553693
3,0.011067448183894157,0.9959041394335512,0.017609070986509323,0.9927450980392157,0.9959190736368976,0.9959041394335512,0.9999180849925247,0.9958742760942804,0.9929268078696231,0.9927450980392157,0.9998548362295778,0.9926735678898074
4,0.01751917228102684,0.9937037037037038,0.016758283600211143,0.9935294117647059,0.9939948683588338,0.9937037037037038,0.9998740680409803,0.9936383583244186,0.9941798971725442,0.9935294117647059,0.9998706438259544,0.9935099008428494
5,0.008074319921433926,0.9972331154684095,0.01916782557964325,0.995686274509804,0.9972666563394648,0.9972331154684095,0.9999446681367428,0.9972224632398723,0.9957350655847912,0.995686274509804,0.9999136790049095,0.9956670370654833
6,0.028727374970912933,0.9889542483660131,0.03326154127717018,0.9880392156862745,0.9895154045867154,0.9889542483660131,0.9997791144627972,0.9886914795845765,0.9885223431441706,0.9880392156862745,0.9997605200513395,0.9877865857957729
7,0.010256566107273102,0.9964270152505447,0.01143142394721508,0.9958823529411764,0.9964617909433517,0.9964270152505447,0.9999285434203861,0.9964125435924199,0.9959322096586913,0.9958823529411764,0.9999175825058174,0.9958258408864856
8,0.018331319093704224,0.9935294117647059,0.019052261486649513,0.9931372549019608,0.9934824234052775,0.9935294117647059,0.9998706020199136,0.9934822509239707,0.9930684103758693,0.9931372549019608,0.9998626279182966,0.9930754704099979
9,0.01776505820453167,0.9938562091503268,0.018464351072907448,0.9929411764705882,0.993816018549832,0.9938562091503268,0.9998771271006236,0.9938167614452832,0.9929291829485589,0.9929411764705882,0.9998588425112057,0.9928657584245819
10,0.017840050160884857,0.9929847494553377,0.020911887288093567,0.9929411764705882,0.9929533034371871,0.9929847494553377,0.999859674822599,0.9929113228788211,0.9929322663344664,0.9929411764705882,0.9998590198297685,0.9928543882362931
Average,0.017197943478822707,0.9937254901960785,0.01986587466672063,0.9929803921568625,0.9938509065319334,0.9937254901960785,0.9998745093225162,0.9936419218424687,0.9931601100450568,0.9929803921568625,0.9998596104313433,0.9928811428885188
