fold,train_accuracy,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.9999980939201772,0.995848558145918,0.9999980941055214,0.9999980939201772,0.9999999618787,0.9999980939199735,0.9959316938236857,0.995848558145918,0.9999169739282014,0.9958006849882429
2,1.0,0.996363199698077,1.0,1.0,1.0,1.0,0.9964461343952968,0.996363199698077,0.9999272403352321,0.9963190865815773
3,0.9999980939201772,0.9962774261060505,0.9999980941047317,0.9999980939201772,0.9999999618754387,0.9999980939199753,0.9963615748546978,0.9962774261060505,0.9999255763310639,0.9962363078866739
4,1.0,0.9961058789219975,1.0,1.0,1.0,1.0,0.9961692371322909,0.9961058789219975,0.9999221475933906,0.9960631684103464
5,0.9999980939201772,0.9960372600483763,0.9999980941053233,0.9999980939201772,0.9999999618778848,0.9999980939200689,0.996124257032793,0.9960372600483763,0.9999207403760673,0.9959861031894459
6,0.9999980939201772,0.9960372600483763,0.9999980941056839,0.9999980939201772,0.999999961879367,0.9999980939201998,0.9960801843091756,0.9960372600483763,0.9999207416814789,0.9959879638703827
7,0.9999980939201772,0.9960887242035922,0.9999980941058463,0.9999980939201772,0.9999999618800339,0.9999980939203484,0.9961267258197392,0.9960887242035922,0.999921757693793,0.9960420978452846
8,0.9999980939201772,0.9962088072324293,0.9999980941051259,0.9999980939201772,0.9999999618770695,0.9999980939200827,0.9963098013589039,0.9962088072324293,0.9999241949771248,0.9961629685674597
9,0.9999980939201772,0.9959171770195392,0.9999980941056298,0.9999980939201772,0.9999999618791446,0.9999980939202402,0.9959592542609319,0.9959171770195392,0.9999183376915289,0.995867288803467
10,0.9999980939201772,0.9965519016005352,0.9999980941056839,0.9999980939201772,0.999999961879367,0.9999980939203212,0.9966153468815118,0.9965519016005352,0.9999310196197476,0.9965131533369488
Average,0.9999984751361419,0.9961436193024891,0.9999984752843545,0.9999984751361419,0.9999999695027005,0.9999984751361211,0.9962124209869027,0.9961436193024891,0.9999228730227628,0.9960978823479829
