fold,train_accuracy,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.9999980873945915,0.9946294861864188,0.9999980875930976,0.9999980873945915,0.9999999617939469,0.999998087393668,0.9946173438048119,0.9946294861864188,0.9998927223506956,0.994622091480928
2,0.9999980873945915,0.9949737498924176,0.9999980875944876,0.9999980873945915,0.999999961798934,0.9999980873941063,0.9949708062525888,0.9949737498924176,0.9998995402435066,0.994971231512007
3,0.9999980873982496,0.9950080903363514,0.9999980875965699,0.9999980873982496,0.9999999617933514,0.9999980873975086,0.9950078396193912,0.9950080903363514,0.9999003107904505,0.995006407607455
4,0.9999980873982496,0.995128584707543,0.9999980875974581,0.9999980873982496,0.9999999617965523,0.999998087397502,0.9951131615121968,0.995128584707543,0.9999026732322163,0.9951158287435015
5,0.9999980873982496,0.99488759596516,0.9999980875967964,0.9999980873982496,0.9999999617941702,0.9999980873976075,0.9948970480178339,0.99488759596516,0.9998978933725455,0.9948913925600533
6,0.9999980873982496,0.9953867869315248,0.9999980875966729,0.9999980873982496,0.9999999617937235,0.9999980873975555,0.9953808268442366,0.9953867869315248,0.9999078944209954,0.9953829919348536
7,1.0,0.9950941577443454,1.0,1.0,1.0,1.0,0.9950869926096607,0.9950941577443454,0.9999019934615835,0.9950902248169995
8,1.0,0.9955761352291115,1.0,1.0,1.0,1.0,0.9955728244708916,0.9955761352291115,0.9999116493973034,0.9955709874705938
9,0.9999980873982496,0.9951457981891417,0.9999980875976243,0.9999980873982496,0.9999999617971478,0.9999980873974578,0.995149281476786,0.9951457981891417,0.9999029848595358,0.9951416328269505
10,0.9999980873982496,0.995042517299549,0.9999980875965494,0.9999980873982496,0.9999999617932769,0.9999980873975035,0.9950384936179352,0.995042517299549,0.9999009757844496,0.9950400126739422
Average,0.9999984699178681,0.9950872902481563,0.9999984700769258,0.9999984699178681,0.9999999694361102,0.9999984699172909,0.9950834618226333,0.9950872902481563,0.9999018637913281,0.9950832801627284
