fold,train_accuracy,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,1.0,0.9993563202393793,1.0,1.0,1.0,1.0,0.9993580128291367,0.9993563202393793,0.9999871816365254,0.9993558652838956
2,1.0,0.9992345429873699,1.0,1.0,1.0,1.0,0.9992362904716827,0.9992345429873699,0.9999847623101505,0.9992348197483553
3,1.0,0.999269336487944,1.0,1.0,1.0,1.0,0.9992697450046562,0.999269336487944,0.9999854534097224,0.9992694208302574
4,1.0,0.9993389234890923,1.0,1.0,1.0,1.0,0.9993390566816722,0.9993389234890923,0.9999868460770035,0.9993388535078983
5,1.0,0.9993911137399534,1.0,1.0,1.0,1.0,0.9993911137399534,0.9993911137399534,0.9999878852026742,0.9993911137399534
6,1.0,0.999269336487944,1.0,1.0,1.0,1.0,0.999270112437237,0.999269336487944,0.9999854571043891,0.9992696134014881
7,1.0,0.9991301624856477,1.0,1.0,1.0,1.0,0.9991294676320152,0.9991301624856477,0.9999826769849933,0.9991296686996297
8,1.0,0.999269336487944,1.0,1.0,1.0,1.0,0.9992699930639771,0.999269336487944,0.9999854581930094,0.9992693340378476
9,1.0,0.9994085104902404,1.0,1.0,1.0,1.0,0.999409584024221,0.9994085104902404,0.999988216867588,0.9994081434970972
10,1.0,0.9993737060941876,1.0,1.0,1.0,1.0,0.9993736820400664,0.9993737060941876,0.9999875283277952,0.999373575533717
Average,1.0,0.9993041288989704,1.0,1.0,1.0,1.0,0.9993047057924617,0.9993041288989704,0.9999861466113851,0.9993040408280139
