fold,train_accuracy,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.9638950359963174,0.9642495668433603,0.9667910663033614,0.9638950359963174,0.9992778413496964,0.9607143882517061,0.9687647778923762,0.9642495668433603,0.9992855325316687,0.9615995441757875
2,0.9637654225683663,0.9637006158543907,0.9665982228945605,0.9637654225683663,0.9992753269944707,0.9604765964792761,0.9665646961047465,0.9637006158543907,0.9992738476347395,0.9604327567655052
3,0.9641199534154091,0.9651244574820305,0.9673842207635375,0.9641199534154091,0.9992824064464159,0.9611232420317467,0.967462762029655,0.9651244574820305,0.9993024286409855,0.9620790956399641
4,0.9640684892601933,0.9649014461427615,0.9673389918975785,0.9640684892601933,0.9992813575419068,0.9610701331248644,0.9680052487908591,0.9649014461427615,0.9992981369435757,0.962001591312226
5,0.9639884339076352,0.963426140359906,0.9670284217933606,0.9639884339076352,0.9992797854131399,0.9608867480241429,0.9661746758687118,0.963426140359906,0.9992683617070192,0.9599097189504743
6,0.964161887171511,0.9637863894464173,0.9673113636237985,0.964161887171511,0.9992832126405097,0.9611214430436803,0.9668968922335136,0.9637863894464173,0.9992759523731416,0.9606016048142213
7,0.9639541244708246,0.9639064724752543,0.9669240085520179,0.9639541244708246,0.9992791113409619,0.9607815237998582,0.9664631277055032,0.9639064724752543,0.9992778705248919,0.9604230816693987
8,0.9644611417036922,0.9637349252912013,0.9677793249885345,0.9644611417036922,0.9992892032443339,0.9616026097758849,0.967275172132898,0.9637349252912013,0.9992748748996136,0.9608789421087345
9,0.9638149806437594,0.9631173554286107,0.9665788601084618,0.9638149806437594,0.9992762976084894,0.9605038468492311,0.9662886773087017,0.9631173554286107,0.9992623651250225,0.959960652803217
10,0.964100892617181,0.9640780196593073,0.9672165712950399,0.964100892617181,0.9992820648783086,0.9609975166104314,0.9665627003511352,0.9640780196593073,0.9992811346120365,0.9608741178446176
Average,0.964033036175489,0.964002538898324,0.9670951052220251,0.964033036175489,0.9992806607458233,0.9609278047990824,0.9670458730418099,0.964002538898324,0.9992800504992694,0.9608761106084145
