fold,train_accuracy,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.9735552300074601,0.9729870762380198,0.9749036706607738,0.9735552300074601,0.999472424240153,0.9712061100927853,0.9753489185861184,0.9729870762380198,0.9994612378314702,0.9709040948635467
2,0.9736112775357642,0.9727087718077612,0.9750141407221624,0.9736112775357642,0.9994735274919586,0.9713016626548683,0.97441960610375,0.9727087718077612,0.9994558633252992,0.9705208618615411
3,0.973518509213054,0.9739959297977074,0.9750101106867036,0.973518509213054,0.9994717269434112,0.9711887308631599,0.9750855562484014,0.9739959297977074,0.9994810557865083,0.971502802084942
4,0.9735803547615274,0.9736828373136664,0.9750788562372977,0.9735803547615274,0.9994729047021698,0.9712719785911567,0.9753500305087477,0.9736828373136664,0.9994753078311831,0.9712764493966975
5,0.9734373369306827,0.9743785983893131,0.974806601398089,0.9734373369306827,0.9994700999760993,0.9711801719012596,0.9758079356091707,0.9743785983893131,0.9994888216404859,0.9721706367848875
6,0.9734276735637337,0.9737698074481224,0.9748098980742241,0.9734276735637337,0.9994698931240429,0.9711415591977562,0.9747378931799972,0.9737698074481224,0.9994768264771564,0.9715848403745734
7,0.9734566636645806,0.9740481118783809,0.9748151303561062,0.9734566636645806,0.999470536045923,0.971177810907901,0.9755044049732252,0.9740481118783809,0.9994818128025253,0.9719301410435208
8,0.973416077523395,0.9741350820128368,0.974820478705137,0.973416077523395,0.9994696581356446,0.9711346299473631,0.9746995183443213,0.9741350820128368,0.9994841581209533,0.971804768050599
9,0.9735764894147478,0.972587013619523,0.9749654295941903,0.9735764894147478,0.999472861648537,0.9712749392381949,0.9739327469865963,0.972587013619523,0.9994531860485014,0.9701889884081689
10,0.9735649444647375,0.9728648460601844,0.9749771168150533,0.9735649444647375,0.9994726711239836,0.9712660335796718,0.974467102840364,0.9728648460601844,0.9994583222800826,0.9702683684260414
Average,0.9735144557079682,0.9735158074565515,0.9749201433249736,0.9735144557079682,0.9994716303431923,0.9712143626974117,0.9749353713380693,0.9735158074565515,0.9994716592144165,0.9712151951294518
