fold,train_accuracy,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.9950422863808691,0.9925033880568851,0.9951861566141545,0.9950422863808691,0.9999008431848619,0.9949715210564135,0.9927680731492496,0.9925033880568851,0.999850100366992,0.9923577931339101
2,0.994962231028311,0.9934983617243923,0.99509797874884,0.994962231028311,0.9998992479235266,0.9948934136760613,0.9935981931315666,0.9934983617243923,0.9998699324312826,0.9933861645041475
3,0.9949412641502601,0.9929151012986122,0.9950944910356133,0.9949412641502601,0.9998988221660174,0.9948689680880094,0.9930658511647699,0.9929151012986122,0.9998583352805772,0.992816207506231
4,0.9949603249484882,0.9932238862299075,0.9951137957876894,0.9949603249484882,0.99989920279735,0.9948874828317624,0.9933770481498646,0.9932238862299075,0.9998645233105702,0.9931447233871754
5,0.9950556289396287,0.9924519239016691,0.9952093808114124,0.9950556289396287,0.9999011137214332,0.9949859996811079,0.9926212606943646,0.9924519239016691,0.9998490247928662,0.9923172403344218
6,0.994971761427425,0.9932581956667181,0.9951190265789258,0.994971761427425,0.9998994346222606,0.99490100511692,0.9933813546532091,0.9932581956667181,0.9998651698875476,0.9931731882199825
7,0.995023225582641,0.9932238862299075,0.9951591888111411,0.995023225582641,0.9999004675945506,0.9949552641932726,0.9932995350786392,0.9932238862299075,0.9998644466076542,0.993117745595158
8,0.9950460985405147,0.9932238862299075,0.9951847440111372,0.9950460985405147,0.9999009191669576,0.9949781564723668,0.9933549058187834,0.9932238862299075,0.9998645108280799,0.9931236098564946
9,0.9949908222256532,0.9933782786955552,0.9951323051763283,0.9949908222256532,0.999899817190544,0.9949224847776549,0.993549307262835,0.9933782786955552,0.9998675574851369,0.9932465749492785
10,0.9950117891037041,0.9929837201722334,0.9951717803732062,0.9950117891037041,0.9999002402072222,0.9949397014997191,0.9930033612209268,0.9929837201722334,0.9998596352214882,0.9928880299223124
Average,0.9950005432327496,0.993066062820579,0.9951468847948449,0.9950005432327496,0.9999000108574723,0.9949303997393288,0.993201889032421,0.993066062820579,0.9998613236212195,0.9929571277409112
