fold,train_accuracy,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.9996965204230157,0.9993911137399534,0.9996972755835043,0.9996965204230157,0.9999939561445124,0.9996961937869913,0.9993985328899214,0.9993911137399534,0.9999878684247097,0.9993892123342821
2,0.9996733245317813,0.9993041299885181,0.999674147319392,0.9996733245317813,0.9999934945221932,0.9996729515583708,0.9993053021669406,0.9993041299885181,0.9999861409247227,0.9993031700624696
3,0.9996733245317813,0.9994259072405275,0.9996741577944699,0.9996733245317813,0.9999934944548512,0.9996729852490106,0.9994304970035858,0.9994259072405275,0.9999885623809663,0.9994248220636647
4,0.9996829894864623,0.9994085104902404,0.9996840936821212,0.9996829894864623,0.9999936864457465,0.9996826620349798,0.9994086178936207,0.9994085104902404,0.9999882291123291,0.9994073387597708
5,0.9996733245317813,0.9995476844925368,0.999674102891901,0.9996733245317813,0.9999934944248615,0.9996729880341476,0.9995484488042856,0.9995476844925368,0.9999909941140794,0.9995469278241068
6,0.9996945880224382,0.9994954854647623,0.9996954761711659,0.9996945880224382,0.9999939182930012,0.9996943041585206,0.999496931426528,0.9994954854647623,0.9999899469690585,0.9994939471137273
7,0.9996675262016415,0.9993563090412484,0.9996680495903468,0.9996675262016415,0.9999933789895746,0.9996671493276846,0.9993569613154832,0.9993563090412484,0.9999871727914441,0.9993558435196902
8,0.9996462633424441,0.9994432943059446,0.9996472865794858,0.9996462633424441,0.9999929550744232,0.9996458315528155,0.9994445604773506,0.9994432943059446,0.9999889085317027,0.9994419313852052
9,0.9996945880224382,0.9992171326177346,0.9996954064154376,0.9996945880224382,0.9999939173892357,0.9996942790697227,0.9992212464209533,0.9992171326177346,0.9999844073784415,0.9992153160582193
10,0.9996771911376403,0.9994780884118231,0.9996781807194399,0.9996771911376403,0.9999935722439773,0.9996768722611995,0.9994828998634161,0.9994780884118231,0.9999895970708257,0.9994762773192786
Average,0.9996779640231426,0.9994067655793291,0.9996788176747264,0.9996779640231426,0.9999935867982377,0.9996776217033444,0.9994093998262086,0.9994067655793291,0.999988182769828,0.9994054786440415
