fold,train_accuracy,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.9778075126230136,0.9769612131816856,0.9778054456489104,0.9778075126230136,0.9995561410174472,0.9774796722979407,0.9771434840803218,0.9769612131816856,0.9995393208319221,0.9767180194863191
2,0.9778723193369891,0.9782821264988936,0.9778413006590805,0.9778723193369891,0.9995574524786736,0.9775199434473894,0.9782675142399713,0.9782821264988936,0.9995655882215932,0.9778913809769882
3,0.9777465180686837,0.9777503302283294,0.9776953897850843,0.9777465180686837,0.9995549262795398,0.9774323473028522,0.9776037053431892,0.9777503302283294,0.9995550521153045,0.9774698700907555
4,0.9777369876695696,0.9786252208669994,0.9777335517333725,0.9777369876695696,0.9995547271245068,0.9773956132740015,0.978491759790329,0.9786252208669994,0.999572618185298,0.9783237438090342
5,0.9778951922948629,0.9769955226184962,0.9778861822993355,0.9778951922948629,0.9995579142991166,0.9775691191118419,0.9768980549402523,0.9769955226184962,0.9995398122561264,0.9766030635067392
6,0.9776397775986063,0.9773386169866022,0.9776474957498514,0.9776397775986063,0.9995527890797139,0.9773038620944822,0.9775235214106273,0.9773386169866022,0.9995468394414234,0.9769509464426885
7,0.9779237834922051,0.9782306623436776,0.9779263704384259,0.9779237834922051,0.999558484288846,0.9775793174451577,0.9782739987468544,0.9782306623436776,0.999564534468627,0.977829406373335
8,0.9776474019178976,0.9778704132571664,0.9775493779926889,0.9776474019178976,0.9995529376732488,0.9773583340108395,0.9778521530723657,0.9778704132571664,0.9995575013909453,0.9776345549065225
9,0.9779180652527366,0.9778875679755716,0.9779101963595405,0.9779180652527366,0.9995583616916449,0.9775769245651389,0.9779360866490222,0.9778875679755716,0.9995577500744948,0.9775615822274045
10,0.9776836174345309,0.9778189491019504,0.9777585150744129,0.9776836174345309,0.9995536920669958,0.9772505403428455,0.9778536727803796,0.9778189491019504,0.9995561976750427,0.9774053451957112
Average,0.9777871175689097,0.9777760623059372,0.9777753825740703,0.9777871175689097,0.9995557425999733,0.977446567389249,0.9777843951053313,0.9777760623059372,0.9995555214660777,0.9774387913015496
