fold,train_accuracy,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.9794115115756458,0.9791039124223282,0.9793913254602342,0.9794115115756458,0.9995886732764657,0.9791290880390877,0.9790312168288977,0.9791039124223282,0.9995823782138511,0.9788447625282026
2,0.9794956633165348,0.9807907465101469,0.9794368618533444,0.9794956633165348,0.9995903087509939,0.9791889698291995,0.9807722472780461,0.9807907465101469,0.9996164209036005,0.9804628385977714
3,0.9795186529627093,0.978225695400716,0.9793987125013258,0.9795186529627093,0.9995908075105675,0.9791900115760405,0.9781503263742606,0.978225695400716,0.9995647431943765,0.9778617595444101
4,0.9793235743001075,0.9795855136326082,0.9792910094275641,0.9793235743001075,0.9995868686502964,0.9789076301261792,0.9795944808892941,0.9795855136326082,0.9995922363127938,0.9792355916414137
5,0.9798055333488886,0.9791896171853484,0.9797384574576543,0.9798055333488886,0.9995965356532341,0.9794836047755846,0.9792710331638431,0.9791896171853484,0.9995840919268877,0.97882559855018
6,0.9794058133441456,0.9798781327458,0.979388761419097,0.9794058133441456,0.9995885442469428,0.9790962349228317,0.9797363458541365,0.9798781327458,0.9995979453619223,0.979573485619765
7,0.979413463487777,0.979516662076563,0.979356303791138,0.979413463487777,0.9995886690498574,0.9790847471850654,0.9795807750303541,0.979516662076563,0.9995909218360737,0.979172467897303
8,0.9793599124823569,0.97934453318645,0.9793004489840468,0.9793599124823569,0.9995875964342607,0.9790573126202717,0.9792993317910842,0.97934453318645,0.9995875097845776,0.979064964571343
9,0.9797577199511921,0.9798781327458,0.9796818908682556,0.9797577199511921,0.999595569403992,0.9794314455700093,0.9799194581274795,0.9798781327458,0.9995979563691432,0.9795794437592216
10,0.9798361339234144,0.9800846874139355,0.9797853733684783,0.9798361339234144,0.9995971535979132,0.9795389580785874,0.9798583187401205,0.9800846874139355,0.9996019362769906,0.9797901405334845
Average,0.9795327978692772,0.9795597633319696,0.9794769145131139,0.9795327978692772,0.9995910726574524,0.9792108002722857,0.9795213534077517,0.9795597633319696,0.9995916140180217,0.9792411053243096
