fold,train_accuracy,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.9778189491019504,0.9780419604412194,0.9777800755537046,0.9778189491019504,0.9995563682922247,0.9774302276730478,0.9782540219132303,0.9780419604412194,0.9995609561891369,0.9777179854157403
2,0.9778475402992927,0.9787796133326472,0.9778115706652265,0.9778475402992927,0.9995569567236056,0.9775007383206749,0.9787651630609795,0.9787796133326472,0.999575540409267,0.9784799039086223
3,0.9774682304145533,0.9776474019178976,0.9774986550339867,0.9774682304145533,0.9995493615277595,0.9771464021478944,0.9775572799116774,0.9776474019178976,0.9995529778180315,0.97732410027733
4,0.9778970983746857,0.9770298320553068,0.9779045481903814,0.9778970983746857,0.9995579294803993,0.9775446761573205,0.9768197111672092,0.9770298320553068,0.9995407190146005,0.976655421489547
5,0.9776950539134678,0.9772013792393598,0.9776846453333469,0.9776950539134678,0.9995539117103251,0.9773653796069671,0.977067963662559,0.9772013792393598,0.9995439314190656,0.9768088178813558
6,0.9775864073635676,0.977561628325871,0.9776043002606718,0.9775864073635676,0.9995517218895872,0.9772277760650987,0.9777591873452508,0.977561628325871,0.9995512945496904,0.977201948690524
7,0.9779561868491928,0.9781620434700564,0.9779187772825407,0.9779561868491928,0.9995591322854315,0.9775978442043346,0.9781633027257813,0.9781620434700564,0.9995631625942685,0.9777858740484761
8,0.9776550262371888,0.9786252208669994,0.9776508429869661,0.9776550262371888,0.9995530902086347,0.9772483712414057,0.978698720975157,0.9786252208669994,0.999572594161136,0.978245958555204
9,0.977904722693977,0.9772871528313862,0.9778799306125485,0.977904722693977,0.9995580948764196,0.9775479084805022,0.977297825996317,0.9772871528313862,0.9995457404393865,0.976856380316937
10,0.9776550262371888,0.9770812962105228,0.9776065664753801,0.9776550262371888,0.9995531176870783,0.9773576448534604,0.9770696776742608,0.9770812962105228,0.9995414719522014,0.9768369741051015
Average,0.9777484241485064,0.9777417528691267,0.9777339912394754,0.9777484241485064,0.9995549684681466,0.9773966968750708,0.9777452854432422,0.9777417528691267,0.9995548388546783,0.9773913364688838
