fold,train_accuracy,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.9999980939201772,0.9955397732146227,0.9999980941055214,0.9999980939201772,0.9999999618787,0.9999980939199735,0.995674580228229,0.9955397732146227,0.9999108003414726,0.995476469804969
2,0.9999961878403544,0.996020105329971,0.9999961885837552,0.9999961878403544,0.9999999237616984,0.9999961878412562,0.9961169641104122,0.996020105329971,0.9999203762859078,0.9959617282202975
3,0.9999980939201772,0.9962602713876452,0.9999980941047317,0.9999980939201772,0.9999999618754387,0.9999980939199753,0.9964229389815942,0.9962602713876452,0.9999252344840762,0.9962069825170214
4,0.9999961878403544,0.9962431166692399,0.9999961885792165,0.9999961878403544,0.9999999237523598,0.9999961878400675,0.9963760280247355,0.9962431166692399,0.9999248915679216,0.9961948923878043
5,0.9999942817605316,0.9957113203986756,0.9999942826866954,0.9999942817605316,0.9999998856357294,0.9999942815744794,0.9958502904503712,0.9957113203986756,0.9999142226576279,0.995652903424984
6,0.9999980939201772,0.9962259619508346,0.9999980941056839,0.9999980939201772,0.999999961879367,0.9999980939201998,0.996291084335922,0.9962259619508346,0.9999245167219732,0.9961807287176614
7,0.9999942817605316,0.9961058789219975,0.9999942826888413,0.9999942817605316,0.9999998856402503,0.9999942815763536,0.9961797363951672,0.9961058789219975,0.9999220988129084,0.9960575050579571
8,0.9999961878403544,0.9962088072324293,0.999996188580077,0.9999961878403544,0.9999999237541388,0.9999961878399587,0.9963629362846941,0.9962088072324293,0.9999241963335004,0.9961524736968601
9,0.9999980939201772,0.9961058789219975,0.9999980941056298,0.9999980939201772,0.9999999618791446,0.9999980939202402,0.9962371739383739,0.9961058789219975,0.999922110690989,0.9960425101666502
10,0.9999942817605316,0.9964661280085088,0.9999942834297656,0.9999942817605316,0.9999998856381012,0.9999942817617467,0.9965027223639399,0.9964661280085088,0.9999293075234064,0.9964320497302164
Average,0.9999963784483368,0.9960887242035922,0.9999963790969918,0.9999963784483368,0.9999999275694927,0.9999963784114252,0.996201445511344,0.9960887242035922,0.9999217755419784,0.9960358243724421
