fold,train_accuracy,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,1.0,0.9961100209990017,1.0,1.0,1.0,1.0,0.9961198897187507,0.9961100209990017,0.999922305603105,0.9960791878395007
2,0.9999961749867081,0.9961616578883955,0.9999961757811858,0.9999961749867081,0.9999999235929556,0.9999961749837558,0.9962381797927324,0.9961616578883955,0.9999233286625929,0.9961264291777796
3,0.9999980874970117,0.9960927414496445,0.9999980876958579,0.9999980874970117,0.9999999617972966,0.9999980874965422,0.9961352482021779,0.9960927414496445,0.9999219760192593,0.9960695490532313
4,1.0,0.9959206155223161,1.0,1.0,1.0,1.0,0.9959308483879108,0.9959206155223161,0.9999184705160399,0.9959006314526175
5,0.9999961749940234,0.9959206155223161,0.9999961749940234,0.9999961749940234,0.9999999236067235,0.9999961749940234,0.9959211027698754,0.9959206155223161,0.9999184744888862,0.9958952780492119
6,0.9999923499880469,0.9965402688606985,0.9999923501735669,0.9999923499880469,0.9999998471732287,0.9999923497813944,0.9965491663116594,0.9965402688606985,0.9999308788443674,0.9965157428152059
7,0.9999923499880469,0.9953698125548651,0.9999923519783358,0.9999923499880469,0.9999998471715963,0.9999923496774499,0.995381649716104,0.9953698125548651,0.9999074648479929,0.9953390785622659
8,0.9999942624910352,0.9965402688606985,0.9999942634515613,0.9999942624910352,0.999999885327679,0.99999426227696,0.9965607365278399,0.9965402688606985,0.9999309107241706,0.9965190381038298
9,0.9999961749940234,0.9963681429333701,0.9999961757933976,0.9999961749940234,0.9999999236018869,0.9999961749936258,0.9963869110906516,0.9963681429333701,0.9999274257472683,0.9963440533894503
10,0.9999980874970117,0.9963165051551716,0.9999980876956308,0.9999980874970117,0.9999999617964778,0.9999980874965063,0.9963189740965727,0.9963165051551716,0.9999264198203994,0.996296434188394
Average,0.9999963662435908,0.9961340649746477,0.999996366756356,0.9999963662435908,0.9999999274067845,0.9999963661700256,0.9961542706614275,0.9961340649746477,0.9999227655274081,0.9961085422631488
