fold,train_accuracy,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.9999923756807088,0.9933439692587446,0.9999923769767038,0.9999923756807088,0.9999998475093889,0.9999923756784902,0.993351866746294,0.9933439692587446,0.9998668792245715,0.9933027103592375
2,0.9999980939201772,0.9936184447532294,0.9999980941060456,0.9999980939201772,0.9999999618808493,0.9999980939204071,0.9935911021828451,0.9936184447532294,0.9998723450612645,0.9935787785063135
3,0.9999961878403544,0.9936699089084453,0.9999961882103974,0.9999961878403544,0.9999999237547317,0.9999961877474894,0.9936573899658893,0.9936699089084453,0.999873426246096,0.9936303738276315
4,1.0,0.9941502410237936,1.0,1.0,1.0,1.0,0.9941369541763722,0.9941502410237936,0.9998830430215848,0.9941134336083054
5,0.9999923756807088,0.9935155164427976,0.9999923786421845,0.9999923756807088,0.9999998475115389,0.9999923756787619,0.993523262880222,0.9935155164427976,0.9998702960087799,0.9934612285569854
6,0.9999942817605316,0.9937899919372823,0.9999942826847572,0.9999942817605316,0.9999998856314304,0.9999942815743605,0.9937493888524082,0.9937899919372823,0.9998757978878688,0.9937566954929612
7,0.9999961878403544,0.9939272296845247,0.9999961885829588,0.9999961878403544,0.9999999237600681,0.9999961878410212,0.9938856888591266,0.9939272296845247,0.9998785256246688,0.9938778822732792
8,0.9999942817605316,0.9938243013740929,0.9999942834247456,0.9999942817605316,0.9999998856312081,0.9999942817596009,0.993816328303737,0.9938243013740929,0.9998765112271724,0.9937823432045729
9,0.9999961878403544,0.993481207005987,0.9999961878403544,0.9999961878403544,0.9999999237571776,0.9999961878403544,0.993448981015184,0.993481207005987,0.9998696190712073,0.9934393389972799
10,0.9999923756807088,0.9941502410237936,0.9999923786479473,0.9999923756807088,0.9999998475174682,0.9999923756827968,0.9941216097599711,0.9941502410237936,0.9998829864975297,0.9941271839642509
Average,0.999995234800443,0.9937471051412692,0.9999952359116095,0.999995234800443,0.9999999046953862,0.9999952347723283,0.9937282572742049,0.9937471051412692,0.9998749429870744,0.9937069968790817
