fold,train_accuracy,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,1.0,0.9994781882696723,1.0,1.0,1.0,1.0,0.9994809644139357,0.9994781882696723,0.9999896130895246,0.9994779953979918
2,1.0,0.9994955819940166,1.0,1.0,1.0,1.0,0.999499707528614,0.9994955819940166,0.9999899611493627,0.9994953320285819
3,1.0,0.9994434008209838,1.0,1.0,1.0,1.0,0.9994456776549443,0.9994434008209838,0.9999889088654786,0.999442961874766
4,1.0,0.9996695192374592,1.0,1.0,1.0,1.0,0.9996694745691292,0.9996695192374592,0.9999934212268901,0.9996693676457882
5,1.0,0.9995651568913936,1.0,1.0,1.0,1.0,0.9995688114053078,0.9995651568913936,0.9999913368828908,0.9995648978590131
6,1.0,0.9995303694427051,1.0,1.0,1.0,1.0,0.9995342270057231,0.9995303694427051,0.9999906532997335,0.9995298501621835
7,1.0,0.9996347317887706,1.0,1.0,1.0,1.0,0.9996360579838869,0.9996347317887706,0.999992724299181,0.9996343415294306
8,1.0,0.9997738815835246,1.0,1.0,1.0,1.0,0.9997740559935377,0.9997738815835246,0.9999954962133293,0.9997737567777734
9,1.0,0.9995825506157379,1.0,1.0,1.0,1.0,0.9995838327911848,0.9995825506157379,0.9999916840335359,0.99958241324024
10,1.0,0.9995999443400821,1.0,1.0,1.0,1.0,0.9996005333611772,0.9995999443400821,0.99999202774895,0.9995996073407627
Average,1.0,0.9995773324984345,1.0,1.0,1.0,1.0,0.999579334270744,0.9995773324984345,0.9999915826808877,0.9995770523856532
