fold,train_accuracy,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.9999888710826211,0.9639423076923077,0.9999888734006627,0.9999888710826211,0.9999997694713701,0.9999888713914283,0.9645092669548178,0.9639423076923077,0.9992189071833206,0.9641715477936518
2,0.9999888710826211,0.961738782051282,0.9999888733664128,0.9999888710826211,0.999999769276062,0.9999888713843058,0.9620442009540846,0.961738782051282,0.9991748199254787,0.9618519496981361
3,0.9999888710826211,0.9626402243589743,0.9999888733900888,0.9999888710826211,0.9999997694117277,0.99998887138762,0.9634815490593687,0.9626402243589743,0.9991906067786342,0.9629921092029841
4,0.9999888710826211,0.9624399038461539,0.9999888733687586,0.9999888710826211,0.999999769289636,0.9999888713855944,0.9629233381925965,0.9624399038461539,0.999192397268424,0.9626571964542953
5,0.9999888710826211,0.9612379807692307,0.9999888734006627,0.9999888710826211,0.9999997694713701,0.9999888713898913,0.961539381692016,0.9612379807692307,0.9991545684183052,0.9613194869822647
6,0.9999888710826211,0.9639423076923077,0.9999888733796112,0.9999888710826211,0.9999997693520546,0.9999888713869002,0.9636920285229363,0.9639423076923077,0.9992012705742784,0.9638045244954825
7,0.9999888710826211,0.9618389423076923,0.9999888733972877,0.9999888710826211,0.9999997694523964,0.999988871390268,0.9622279427052012,0.9618389423076923,0.9991878350574486,0.9620187400401844
8,0.9999888710826211,0.9633413461538461,0.9999888733982509,0.9999888710826211,0.9999997694578178,0.9999888713909572,0.9633276111732871,0.9633413461538461,0.9991864595116529,0.9633306871667526
9,1.0,0.9650440705128205,1.0,1.0,1.0,1.0,0.9646425844182227,0.9650440705128205,0.9992557978664065,0.9648183932419309
10,0.9999888710826211,0.9634415064102564,0.999988873372993,0.9999888710826211,0.9999997693140646,0.9999888713853764,0.9633633141716249,0.9634415064102564,0.9992243655539969,0.9633868874653987
Average,0.9999899839743591,0.9629607371794873,0.9999899860474729,0.9999899839743591,0.99999979244965,0.9999899842492341,0.9631751217844157,0.9629607371794873,0.9991987028137947,0.9630351522541082
