fold,train_accuracy,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.9237446581196581,0.9156650641025641,0.9435889032802243,0.9237446581196581,0.9984250986506678,0.9267886457104412,0.9366822581010771,0.9156650641025641,0.9982216044093752,0.9185629203844207
2,0.9217525819088319,0.9280849358974359,0.9425255327964887,0.9217525819088319,0.9983846304495595,0.9250621998859778,0.9485993697517957,0.9280849358974359,0.9984900515404262,0.9313331022410694
3,0.922676282051282,0.9194711538461539,0.9428692045098211,0.922676282051282,0.9984034874944773,0.9256968642606597,0.9414484918733016,0.9194711538461539,0.9983038805661394,0.9235932423439561
4,0.9219862891737892,0.9266826923076923,0.9428484225504039,0.9219862891737892,0.9983891186816634,0.9252546496067001,0.9451053241900991,0.9266826923076923,0.998461063430896,0.9297816707742951
5,0.9228766025641025,0.9166666666666666,0.9431055630586038,0.9228766025641025,0.9984082536949408,0.9259202189658596,0.9407406101383393,0.9166666666666666,0.9982412976134577,0.920766780674656
6,0.9224759615384616,0.9250801282051282,0.9428174044198449,0.9224759615384616,0.9983990817490858,0.9256716217391721,0.946191736054256,0.9250801282051282,0.9983937842501286,0.9283090827175061
7,0.9172008547008547,0.9146634615384616,0.9429632142184257,0.9172008547008547,0.9982989113823484,0.9224561390978994,0.9408767700852527,0.9146634615384616,0.9982448030916211,0.919907739734253
8,0.9227653133903134,0.9207732371794872,0.9431514119659156,0.9227653133903134,0.9984055485726367,0.925855939176258,0.9400954364359845,0.9207732371794872,0.998292224995321,0.9236668011051845
9,0.9223758012820513,0.9243790064102564,0.9429812150359373,0.9223758012820513,0.9983975959719641,0.9255915515968611,0.9428940343640175,0.9243790064102564,0.9984354917485339,0.9269067101547822
10,0.922142094017094,0.9272836538461539,0.9425106943688369,0.922142094017094,0.9983919952487407,0.9253404575738746,0.9472173605887949,0.9272836538461539,0.9985022224167156,0.9301386562116957
Average,0.9219996438746438,0.921875,0.9429361566204502,0.9219996438746438,0.9983903721896084,0.9253638287613704,0.9429851391582919,0.921875,0.9983586424062615,0.925296670634182
