fold,train_accuracy,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.9812255163817664,0.9688501602564102,0.9814637934789688,0.9812255163817664,0.9995994559612769,0.9811391508938344,0.9690514524528118,0.9688501602564102,0.999324300351358,0.9687421299023583
2,0.9815927706552706,0.9691506410256411,0.981841962181916,0.9815927706552706,0.9996076960483513,0.9815374093472591,0.9703680719546978,0.9691506410256411,0.9993362351822346,0.9691336074456464
3,0.9809472934472935,0.9690504807692307,0.9810927532594272,0.9809472934472935,0.9995934601630203,0.9808761658122508,0.9694812482713848,0.9690504807692307,0.9993288849258647,0.9692026392265861
4,0.9806801994301995,0.9707532051282052,0.9808303439088741,0.9806801994301995,0.9995873537173114,0.9805903530355053,0.9704297490498397,0.9707532051282052,0.9993690194394489,0.9704420933172184
5,0.9812811609686609,0.9688501602564102,0.9814131526682961,0.9812811609686609,0.999600968972356,0.9812177628913734,0.9686305800405146,0.9688501602564102,0.9993206539613269,0.9686507234614253
6,0.9803908475783476,0.9708533653846154,0.9805465546778754,0.9803908475783476,0.9995816234551281,0.9803190934881972,0.9707752519446462,0.9708533653846154,0.999353116108909,0.9703560892497759
7,0.9812143874643875,0.9708533653846154,0.9814866312757354,0.9812143874643875,0.9995999606350022,0.981198217787682,0.9707676507237801,0.9708533653846154,0.9993791969028245,0.9707129657193195
8,0.9807692307692307,0.9678485576923077,0.980985147634423,0.9807692307692307,0.9995904980850757,0.9807449208744364,0.9674552383707927,0.9678485576923077,0.999284336758735,0.9674025961891425
9,0.9809472934472935,0.9706530448717948,0.9811198586366535,0.9809472934472935,0.9995938374600101,0.9809014385002988,0.9701778459994682,0.9706530448717948,0.999376410380827,0.9702870984204051
10,0.9811587428774928,0.96875,0.9813734385410359,0.9811587428774928,0.9995978119198022,0.9810794616224638,0.9679953777412794,0.96875,0.999335231392582,0.9681752271305416
Average,0.9810207443019943,0.9695612980769232,0.9812153636263206,0.9810207443019943,0.9995952666417335,0.9809603974253301,0.9695132466549214,0.9695612980769232,0.9993407385404112,0.969310517006242
