fold,train_accuracy,val_accuracy,train_precision,train_recall,train_tnr,train_f1,val_precision,val_recall,val_tnr,val_f1
1,0.9949107668730951,0.9932753503851234,0.9951599625712049,0.9949107668730951,0.9998982124148768,0.9947911935297606,0.9936096964419576,0.9932753503851234,0.9998655375066638,0.9930906072338742
2,0.9948135568021318,0.994115931586983,0.9950712798511535,0.9948135568021318,0.9998962750991294,0.9946903586308803,0.9943526137782711,0.994115931586983,0.9998822799032163,0.9939702798902085
3,0.9946019819417997,0.9934983617243923,0.9948608208401324,0.9946019819417997,0.9998920360192248,0.9944763752228797,0.9937360658988136,0.9934983617243923,0.9998700029803216,0.9933575561984835
4,0.9948497723187651,0.9942360146158201,0.9950891810796824,0.9948497723187651,0.9998969914527928,0.9947366121090974,0.9944979955132963,0.9942360146158201,0.9998847604602139,0.9941080075263105
5,0.9948135568021318,0.9931381126378811,0.9950247932414762,0.9948135568021318,0.9998962722144246,0.9946992884057677,0.9934869959021965,0.9931381126378811,0.9998627517927615,0.9929503428516604
6,0.9948535844784108,0.9940644674317671,0.9950835310305122,0.9948535844784108,0.9998970711012851,0.9947386574894846,0.9942133660251168,0.9940644674317671,0.9998812943162361,0.9939461912507978
7,0.9947277832101052,0.9938757655293088,0.9949759519844813,0.9947277832101052,0.9998945593386065,0.9946092990727768,0.9941437730002289,0.9938757655293088,0.9998774777169549,0.99372872377795
8,0.9947830595249668,0.9937042183452559,0.9950192990840191,0.9947830595249668,0.9998956579683346,0.9946704399692222,0.9938810019356841,0.9937042183452559,0.9998741168105557,0.9935590053149076
9,0.9948745513564617,0.9936870636268506,0.9951398306221334,0.9948745513564617,0.9998974919611913,0.994763561202424,0.9940020331937542,0.9936870636268506,0.9998737313346605,0.99350865945653
10,0.9948040264030177,0.994459025955089,0.9950482460906256,0.9948040264030177,0.9998960852452957,0.9946854462965447,0.9946293357435596,0.994459025955089,0.999889136117397,0.9943358106248917
Average,0.9948032639710884,0.9938054311838472,0.9950472896395421,0.9948032639710884,0.9998960652815161,0.9946861231928839,0.9940552877432877,0.9938054311838472,0.9998761088938982,0.9936555184125613
